"fullName" "position" "season" "team" "fantasyPoints" "games" "goals" "assists" "points" "plusMinus" "shortHandedPoints" "shots" "hits" "blocked" "wins" "goalsAgainst" "saves" "shutouts"
"Mattias Janmark" "C" 20212022 "Vegas Golden Knights" 92.9 67 9 16 25 3 3 89 19 28 0 0 0 0
"Jeremy Lauzon" "D" 20212022 "Seattle Kraken" 92.9 66 2 5 7 -6 0 75 224 63 0 0 0 0
"Colin Blackwell" "C" 20212022 "Seattle Kraken" 92.8 58 10 10 20 0 2 77 91 24 0 0 0 0
"Nick Cousins" "C" 20212022 "Nashville Predators" 92.8 68 9 13 22 -8 0 103 66 28 0 0 0 0
"Nicolas Hague" "D" 20212022 "Vegas Golden Knights" 92.4 52 4 10 14 6 0 116 57 80 0 0 0 0
"Oskar Sundqvist" "C" 20212022 "St. Louis Blues" 92.2 59 8 15 23 5 0 70 70 29 0 0 0 0
"Sam Carrick" "C" 20212022 "Anaheim Ducks" 92.1 64 11 8 19 -12 0 80 122 21 0 0 0 0
"Filip Chytil" "C" 20212022 "New York Rangers" 91.6 67 8 14 22 -1 0 135 24 27 0 0 0 0
"Dryden Hunt" "W" 20212022 "New York Rangers" 91.5 76 6 11 17 -10 0 94 153 17 0 0 0 0
"Marc Staal" "D" 20212022 "Detroit Red Wings" 91.2 71 3 13 16 -1 0 76 94 75 0 0 0 0
"Tyson Jost" "C" 20212022 "Colorado Avalanche" 91.1 80 8 12 20 2 1 97 55 37 0 0 0 0
"Ryan Lomberg" "W" 20212022 "Florida Panthers" 90.9 55 9 9 18 4 1 91 117 7 0 0 0 0
"Jake Allen" "G" 20212022 "Montréal Canadiens" 90.8 35 0 0 0 0 0 0 0 0 9 107 1016 2
"Sean Monahan" "C" 20212022 "Calgary Flames" 90.7 65 8 15 23 -15 0 111 59 24 0 0 0 0
"Anthony Stolarz" "G" 20212022 "Anaheim Ducks" 90.7 28 0 0 0 0 0 0 0 0 12 67 742 3
"Alexander Edler" "D" 20212022 "Los Angeles Kings" 90.4 41 3 16 19 18 1 54 56 70 0 0 0 0
"Semyon Varlamov" "G" 20212022 "New York Islanders" 90.05 31 0 0 0 0 0 0 0 0 10 87 891 2
"Carl Grundstrom" "W" 20212022 "Los Angeles Kings" 89.3 54 9 6 15 4 0 83 134 19 0 0 0 0
"Zack Kassian" "W" 20212022 "Edmonton Oilers" 88.8 58 6 13 19 2 0 58 154 6 0 0 0 0
"Chris Wideman" "D" 20212022 "Montréal Canadiens" 88.3 64 4 23 27 -25 0 76 44 46 0 0 0 0
"Mason Appleton" "C" 20212022 "Seattle Kraken" 88.1 68 8 13 21 -1 0 98 64 20 0 0 0 0
"Henri Jokiharju" "D" 20212022 "Buffalo Sabres" 87.8 60 3 16 19 -8 0 83 73 60 0 0 0 0
"Anthony Mantha" "W" 20212022 "Washington Capitals" 87.2 37 9 14 23 4 0 82 46 18 0 0 0 0
"Derek Ryan" "C" 20212022 "Edmonton Oilers" 87.2 75 10 12 22 -4 1 72 38 38 0 0 0 0
"Nicklas Backstrom" "C" 20212022 "Washington Capitals" 87.2 47 6 25 31 -8 0 68 16 16 0 0 0 0
"Connor Clifton" "D" 20212022 "Boston Bruins" 87.2 60 2 8 10 -2 0 80 156 62 0 0 0 0
"Vinnie Hinostroza" "C" 20212022 "Buffalo Sabres" 87 62 13 12 25 -11 0 92 25 13 0 0 0 0
"Darren Helm" "C" 20212022 "Colorado Avalanche" 87 68 7 8 15 -5 2 93 114 27 0 0 0 0
"Martin Jones" "G" 20212022 "Philadelphia Flyers" 86.85 35 0 0 0 0 0 0 0 0 12 114 1027 0
"Evgeny Svechnikov" "W" 20212022 "Winnipeg Jets" 86.8 72 7 12 19 -4 0 78 104 22 0 0 0 0
"Robert Hagg" "D" 20212022 "Buffalo Sabres" 86.3 64 1 8 9 -9 0 59 138 102 0 0 0 0
"Nick Foligno" "W" 20212022 "Boston Bruins" 86 64 2 11 13 -13 0 99 164 31 0 0 0 0
"Zemgus Girgensons" "W" 20212022 "Buffalo Sabres" 86 56 10 8 18 -7 0 92 81 25 0 0 0 0
"Niko Mikkola" "D" 20212022 "St. Louis Blues" 85.9 54 3 10 13 -6 1 58 109 81 0 0 0 0
"Jakob Silfverberg" "W" 20212022 "Anaheim Ducks" 85.3 53 5 16 21 -3 0 120 16 40 0 0 0 0
"Travis Hamonic" "D" 20212022 "Vancouver Canucks" 84.7 43 4 6 10 6 0 82 73 93 0 0 0 0
"Brett Howden" "C" 20212022 "Vegas Golden Knights" 84.7 47 9 11 20 9 2 39 62 36 0 0 0 0
"Matt Martin" "W" 20212022 "New York Islanders" 84.4 71 3 4 7 -2 0 66 235 26 0 0 0 0
"Kieffer Bellows" "W" 20212022 "New York Islanders" 84.3 45 6 13 19 -1 0 79 103 14 0 0 0 0
"Jake Muzzin" "D" 20212022 "Toronto Maple Leafs" 84.2 47 3 11 14 -6 1 75 105 60 0 0 0 0
"Adam Boqvist" "D" 20212022 "Columbus Blue Jackets" 83.8 52 11 11 22 -11 0 64 26 47 0 0 0 0
"Nick Leddy" "D" 20212022 "Detroit Red Wings" 83.7 75 3 21 24 -30 0 71 37 67 0 0 0 0
"Matt Nieto" "W" 20212022 "San Jose Sharks" 83.7 70 6 11 17 -20 0 82 96 47 0 0 0 0
"Casey DeSmith" "G" 20212022 "Pittsburgh Penguins" 83.65 26 0 0 0 0 0 0 0 0 11 66 703 3
"Wayne Simmonds" "W" 20212022 "Toronto Maple Leafs" 83.6 72 5 11 16 -7 0 79 148 11 0 0 0 0
"Nils Hoglander" "W" 20212022 "Vancouver Canucks" 83.6 60 10 8 18 -6 0 132 41 16 0 0 0 0
"Craig Anderson" "G" 20212022 "Buffalo Sabres" 83.6 31 0 0 0 0 0 0 0 0 17 97 848 0
"Morgan Geekie" "C" 20212022 "Seattle Kraken" 83.5 73 7 15 22 -16 0 97 55 23 0 0 0 0
"Ty Smith" "D" 20212022 "New Jersey Devils" 83.5 66 5 15 20 -26 0 77 45 73 0 0 0 0
"Antti Raanta" "G" 20212022 "Carolina Hurricanes" 83 28 0 0 0 0 0 0 0 0 15 62 644 2
"Jaden Schwartz" "C" 20212022 "Seattle Kraken" 82.6 37 8 15 23 -13 0 101 42 13 0 0 0 0
"Michael McCarron" "W" 20212022 "Nashville Predators" 81.7 51 7 7 14 10 1 51 116 31 0 0 0 0
"Jason Zucker" "W" 20212022 "Pittsburgh Penguins" 81 41 8 9 17 -2 0 102 66 20 0 0 0 0
"Connor McMichael" "C" 20212022 "Washington Capitals" 80.9 68 9 9 18 -3 0 105 46 22 0 0 0 0
"Tomas Nosek" "W" 20212022 "Boston Bruins" 80.3 75 3 14 17 -9 2 84 85 34 0 0 0 0
"Alexandar Georgiev" "G" 20212022 "New York Rangers" 80.05 33 0 0 0 0 0 0 0 0 15 85 747 2
"Joel Armia" "W" 20212022 "Montréal Canadiens" 80 60 6 8 14 -15 1 103 104 27 0 0 0 0
"Ryan McLeod" "C" 20212022 "Edmonton Oilers" 79.9 71 9 12 21 -2 0 82 28 25 0 0 0 0
"Dylan Coghlan" "D" 20212022 "Vegas Golden Knights" 79.8 59 3 10 13 -5 0 108 62 61 0 0 0 0
"Erik Gustafsson" "D" 20212022 "Chicago Blackhawks" 79.1 59 3 15 18 -4 0 79 45 55 0 0 0 0
"Jesper Boqvist" "C" 20212022 "New Jersey Devils" 79.1 56 10 13 23 -9 0 74 31 16 0 0 0 0
"Pavel Francouz" "G" 20212022 "Colorado Avalanche" 78.75 21 0 0 0 0 0 0 0 0 15 51 557 2
"Mikey Anderson" "D" 20212022 "Los Angeles Kings" 78.7 57 2 6 8 6 0 58 133 69 0 0 0 0
"Joonas Donskoi" "W" 20212022 "Seattle Kraken" 78.3 75 2 20 22 -10 1 89 36 31 0 0 0 0
"Caleb Jones" "D" 20212022 "Chicago Blackhawks" 78.3 51 5 10 15 -3 0 57 77 58 0 0 0 0
"Rasmus Sandin" "D" 20212022 "Toronto Maple Leafs" 78.2 51 5 11 16 9 0 46 88 39 0 0 0 0
"Ben Hutton" "D" 20212022 "Vegas Golden Knights" 78.1 58 3 10 13 7 0 78 49 72 0 0 0 0
"Riley Stillman" "D" 20212022 "Chicago Blackhawks" 77.9 52 2 10 12 -8 0 49 122 67 0 0 0 0
"Andrew Cogliano" "C" 20212022 "San Jose Sharks" 77.7 74 4 12 16 -18 2 75 104 31 0 0 0 0
"Robert Bortuzzo" "D" 20212022 "St. Louis Blues" 77.6 73 1 5 6 -4 0 47 135 98 0 0 0 0
"Brandon Tanev" "W" 20212022 "Seattle Kraken" 77.6 30 9 6 15 4 1 51 98 22 0 0 0 0
"Ryan Carpenter" "C" 20212022 "Chicago Blackhawks" 77.5 67 3 9 12 -11 0 67 136 44 0 0 0 0
"Sam Lafferty" "C" 20212022 "Pittsburgh Penguins" 77.4 56 5 8 13 -16 0 80 137 26 0 0 0 0
"Patrik Nemeth" "D" 20212022 "New York Rangers" 77.3 63 2 5 7 -9 0 52 115 102 0 0 0 0
"Mark Borowiecki" "D" 20212022 "Nashville Predators" 77.2 57 0 4 4 -9 0 45 196 79 0 0 0 0
"Brendan Lemieux" "W" 20212022 "Los Angeles Kings" 76.8 50 8 5 13 1 0 65 122 17 0 0 0 0
"Dominic Toninato" "C" 20212022 "Winnipeg Jets" 76.1 77 7 7 14 1 4 44 92 32 0 0 0 0
"Ethan Bear" "D" 20212022 "Carolina Hurricanes" 76 58 5 9 14 1 0 97 55 41 0 0 0 0
"Olli Maatta" "D" 20212022 "Los Angeles Kings" 75.9 66 1 7 8 17 0 61 67 94 0 0 0 0
"Philipp Kurashev" "C" 20212022 "Chicago Blackhawks" 75.6 67 6 15 21 -16 0 86 31 30 0 0 0 0
"Marc-Edouard Vlasic" "D" 20212022 "San Jose Sharks" 74.8 75 3 11 14 -22 0 63 54 90 0 0 0 0
"Kevin Rooney" "C" 20212022 "New York Rangers" 74.8 61 6 6 12 -1 0 71 84 47 0 0 0 0
"Parker Kelly" "W" 20212022 "Ottawa Senators" 74.6 41 7 5 12 -4 0 48 131 30 0 0 0 0
"Max Comtois" "W" 20212022 "Anaheim Ducks" 74.6 52 6 10 16 -17 0 72 111 17 0 0 0 0
"Justin Danforth" "W" 20212022 "Columbus Blue Jackets" 74.5 45 10 4 14 -5 0 72 85 22 0 0 0 0
"Zack MacEwen" "C" 20212022 "Philadelphia Flyers" 74.3 75 3 6 9 -15 0 82 159 32 0 0 0 0
"Jacob Peterson" "C" 20212022 "Dallas Stars" 74 65 12 5 17 -1 0 85 22 23 0 0 0 0
"Michael Amadio" "C" 20212022 "Toronto Maple Leafs" 73.3 56 11 7 18 1 0 64 42 16 0 0 0 0
"Jason Dickinson" "C" 20212022 "Vancouver Canucks" 73 62 5 6 11 -1 0 66 101 43 0 0 0 0
"Nick Bjugstad" "C" 20212022 "Minnesota Wild" 72.6 57 7 6 13 -2 0 81 99 14 0 0 0 0
"Mark Pysyk" "D" 20212022 "Buffalo Sabres" 72.3 68 3 9 12 -4 0 64 41 85 0 0 0 0
"Sam Montembeault" "G" 20212022 "Montréal Canadiens" 71.7 38 0 0 0 0 0 0 0 0 8 122 1002 1
"Jordan Martinook" "W" 20212022 "Carolina Hurricanes" 71.6 59 6 9 15 1 0 77 83 11 0 0 0 0
"Dustin Tokarski" "G" 20212022 "Buffalo Sabres" 71.55 29 0 0 0 0 0 0 0 0 10 91 809 1
"Jack Johnson" "D" 20212022 "Colorado Avalanche" 71.5 74 1 8 9 5 1 57 91 68 0 0 0 0
"Ryan Poehling" "C" 20212022 "Montréal Canadiens" 71.3 57 9 8 17 -21 0 91 40 28 0 0 0 0
"Chris Tierney" "C" 20212022 "Ottawa Senators" 70.2 70 6 12 18 -12 0 72 42 30 0 0 0 0
"Sam Steel" "C" 20212022 "Anaheim Ducks" 69.6 68 6 14 20 -17 0 66 37 27 0 0 0 0
"Bowen Byram" "D" 20212022 "Colorado Avalanche" 69.3 30 5 12 17 7 0 49 53 26 0 0 0 0
"Dan Vladar" "G" 20212022 "Calgary Flames" 69.05 23 0 0 0 0 0 0 0 0 13 57 551 2
"Michael Pezzetta" "W" 20212022 "Montréal Canadiens" 68.3 51 5 6 11 -7 0 49 156 8 0 0 0 0
"Brad Hunt" "D" 20212022 "Vancouver Canucks" 68.3 50 3 14 17 -3 0 67 22 48 0 0 0 0
"Morgan Frost" "C" 20212022 "Philadelphia Flyers" 68.2 55 5 11 16 -11 0 85 44 29 0 0 0 0
"Jaycob Megna" "D" 20212022 "San Jose Sharks" 67.5 44 2 6 8 -1 0 40 71 92 0 0 0 0
"Steven Lorentz" "C" 20212022 "Carolina Hurricanes" 67.3 67 8 5 13 0 0 80 67 13 0 0 0 0
"Riley Sheahan" "C" 20212022 "Seattle Kraken" 67.2 69 4 13 17 6 2 69 16 28 0 0 0 0
"Jakub Vrana" "W" 20212022 "Detroit Red Wings" 67.1 26 13 6 19 -8 0 65 14 9 0 0 0 0
"Nicolas Meloche" "D" 20212022 "San Jose Sharks" 66.9 50 2 5 7 -17 1 36 158 54 0 0 0 0
"Andreas Athanasiou" "C" 20212022 "Los Angeles Kings" 66.5 28 11 6 17 7 0 71 11 10 0 0 0 0
"Adam Gaudette" "C" 20212022 "Chicago Blackhawks" 66.5 58 5 9 14 -9 0 94 72 10 0 0 0 0
"Gustav Lindstrom" "D" 20212022 "Detroit Red Wings" 66.5 63 1 12 13 -12 0 41 59 77 0 0 0 0
"Jake Walman" "D" 20212022 "St. Louis Blues" 66.3 51 3 7 10 -3 0 87 47 58 0 0 0 0
"Erik Brannstrom" "D" 20212022 "Ottawa Senators" 65.6 53 0 14 14 -17 0 86 39 59 0 0 0 0
"Cal Foote" "D" 20212022 "Tampa Bay Lightning" 65.3 56 2 7 9 6 0 49 83 57 0 0 0 0
"Adin Hill" "G" 20212022 "San Jose Sharks" 65.25 25 0 0 0 0 0 0 0 0 10 61 587 2
"Sean Couturier" "C" 20212022 "Philadelphia Flyers" 64.8 29 6 11 17 -6 1 79 22 18 0 0 0 0
"Zach Bogosian" "D" 20212022 "Tampa Bay Lightning" 64.6 48 3 5 8 2 0 60 114 34 0 0 0 0
"Jonathan Drouin" "W" 20212022 "Montréal Canadiens" 64.4 34 6 14 20 -9 0 62 27 11 0 0 0 0
"MacKenzie Entwistle" "W" 20212022 "Chicago Blackhawks" 64.4 55 5 7 12 -16 1 34 129 22 0 0 0 0
"Kaapo Kakko" "W" 20212022 "New York Rangers" 64.2 43 7 11 18 9 0 62 8 15 0 0 0 0
"Mattias Samuelsson" "D" 20212022 "Buffalo Sabres" 63.8 42 0 10 10 -10 0 44 100 60 0 0 0 0
"Simon Benoit" "D" 20212022 "Anaheim Ducks" 63.8 53 1 4 5 -5 0 45 168 39 0 0 0 0
"Eric Comrie" "G" 20212022 "Winnipeg Jets" 63.7 19 0 0 0 0 0 0 0 0 10 44 506 1
"Matt Benning" "D" 20212022 "Nashville Predators" 63.5 65 0 11 11 -24 0 61 82 67 0 0 0 0
"Gerry Mayhew" "C" 20212022 "Philadelphia Flyers" 63.2 40 11 1 12 -6 0 53 58 26 0 0 0 0
"Casey Mittelstadt" "C" 20212022 "Buffalo Sabres" 63 40 6 13 19 -14 0 79 19 12 0 0 0 0
"Dylan Gambrell" "C" 20212022 "Ottawa Senators" 62.5 63 3 4 7 2 1 58 103 39 0 0 0 0
"J.J. Moser" "D" 20212022 "Arizona Coyotes" 61.9 43 4 11 15 -10 0 40 32 55 0 0 0 0
"Peyton Krebs" "C" 20212022 "Vegas Golden Knights" 61.8 57 7 15 22 -26 0 56 25 8 0 0 0 0
"Logan Thompson" "G" 20212022 "Vegas Golden Knights" 61.8 19 0 0 0 0 0 0 0 0 10 49 520 1
"Colin Miller" "D" 20212022 "Buffalo Sabres" 61.6 38 2 12 14 -2 0 48 50 42 0 0 0 0
"Yegor Chinakhov" "W" 20212022 "Columbus Blue Jackets" 61.3 62 7 7 14 -27 0 98 50 16 0 0 0 0
"Kevin Lankinen" "G" 20212022 "Chicago Blackhawks" 61.25 32 0 0 0 0 0 0 0 0 8 106 867 0
"Josh Brown" "D" 20212022 "Ottawa Senators" 61.1 52 0 6 6 -7 0 45 118 62 0 0 0 0
"Brendan Smith" "D" 20212022 "Carolina Hurricanes" 61 45 4 4 8 6 0 63 73 40 0 0 0 0
"Christian Fischer" "W" 20212022 "Arizona Coyotes" 60.5 53 5 5 10 -15 0 76 91 22 0 0 0 0
"Boris Katchouk" "W" 20212022 "Tampa Bay Lightning" 60.1 59 3 4 7 -7 0 58 138 20 0 0 0 0
"Kyle Burroughs" "D" 20212022 "Vancouver Canucks" 60 42 1 4 5 -3 0 39 122 59 0 0 0 0
"Chris Driedger" "G" 20212022 "Seattle Kraken" 59.95 27 0 0 0 0 0 0 0 0 9 73 649 1
"Andrew Ladd" "W" 20212022 "Arizona Coyotes" 59.9 51 7 5 12 -20 0 57 68 33 0 0 0 0
"Jacob Bryson" "D" 20212022 "Buffalo Sabres" 59.8 73 1 9 10 -9 0 43 55 73 0 0 0 0
"Jansen Harkins" "C" 20212022 "Winnipeg Jets" 59.6 77 7 6 13 -8 0 67 51 18 0 0 0 0
"Rasmus Kupari" "C" 20212022 "Los Angeles Kings" 59.4 57 5 8 13 -5 1 51 68 17 0 0 0 0
"Carl Hagelin" "W" 20212022 "Washington Capitals" 59.2 53 3 11 14 10 1 71 32 12 0 0 0 0
"Thomas Greiss" "G" 20212022 "Detroit Red Wings" 58.9 31 0 0 0 0 0 0 0 0 10 92 750 0
"Mackenzie Blackwood" "G" 20212022 "New Jersey Devils" 58.6 25 0 0 0 0 0 0 0 0 9 79 652 2
"Patrick Brown" "C" 20212022 "Philadelphia Flyers" 58.2 44 4 5 9 -16 0 51 100 36 0 0 0 0
"Nathan Walker" "W" 20212022 "St. Louis Blues" 58.1 30 8 4 12 1 0 38 58 22 0 0 0 0
"Braden Schneider" "D" 20212022 "New York Rangers" 58.1 43 2 9 11 5 0 25 60 52 0 0 0 0
"Brian Elliott" "G" 20212022 "Tampa Bay Lightning" 57.5 19 0 0 0 0 0 0 0 0 11 43 446 1
"Karson Kuhlman" "C" 20212022 "Boston Bruins" 56.2 44 3 7 10 -2 0 68 71 20 0 0 0 0
"Will Borgen" "D" 20212022 "Seattle Kraken" 55.8 36 2 6 8 1 0 49 89 33 0 0 0 0
"Devin Shore" "C" 20212022 "Edmonton Oilers" 53.7 49 5 6 11 -4 1 36 67 21 0 0 0 0
"Michael Del Zotto" "D" 20212022 "Ottawa Senators" 53.4 26 3 10 13 -4 0 35 42 34 0 0 0 0
"Alec Martinez" "D" 20212022 "Vegas Golden Knights" 52.8 26 3 5 8 6 0 32 26 68 0 0 0 0
"Travis Dermott" "D" 20212022 "Toronto Maple Leafs" 52.7 60 2 5 7 9 0 46 55 46 0 0 0 0
"Tobias Bjornfot" "D" 20212022 "Los Angeles Kings" 52.6 70 0 8 8 -12 0 53 61 58 0 0 0 0
"Laurent Brossoit" "G" 20212022 "Vegas Golden Knights" 52.3 24 0 0 0 0 0 0 0 0 10 62 526 1
"Matt Murray" "G" 20212022 "Ottawa Senators" 52 20 0 0 0 0 0 0 0 0 5 60 580 1
"Julien Gauthier" "W" 20212022 "New York Rangers" 51.9 49 3 4 7 -9 0 69 98 14 0 0 0 0
"Joel Kiviranta" "W" 20212022 "Dallas Stars" 51.3 56 1 6 7 -6 0 59 97 23 0 0 0 0
"Haydn Fleury" "D" 20212022 "Seattle Kraken" 51 36 2 2 4 0 0 52 60 62 0 0 0 0
"Sebastian Aho" "D" 20212022 "New York Islanders" 50 36 2 10 12 -6 0 34 32 42 0 0 0 0
"Nico Daws" "G" 20212022 "New Jersey Devils" 49.85 25 0 0 0 0 0 0 0 0 10 66 551 0
"Jasper Weatherby" "C" 20212022 "San Jose Sharks" 49.4 50 5 6 11 -14 0 45 52 24 0 0 0 0
"Givani Smith" "W" 20212022 "Detroit Red Wings" 49.4 46 4 3 7 -6 0 50 86 20 0 0 0 0
"Kurtis MacDermid" "D" 20212022 "Colorado Avalanche" 49.1 58 2 3 5 1 0 46 105 22 0 0 0 0
"Emil Bemstrom" "C" 20212022 "Columbus Blue Jackets" 49.1 41 6 5 11 -1 0 62 36 6 0 0 0 0
"Gavin Bayreuther" "D" 20212022 "Columbus Blue Jackets" 48.3 43 0 8 8 0 0 44 50 45 0 0 0 0
"Josh Mahura" "D" 20212022 "Anaheim Ducks" 47.9 38 3 4 7 -14 0 36 63 51 0 0 0 0
"Nick Seeler" "D" 20212022 "Philadelphia Flyers" 47.6 43 1 2 3 -3 0 32 75 67 0 0 0 0
"John Hayden" "C" 20212022 "Buffalo Sabres" 47.4 55 2 2 4 -12 0 65 104 24 0 0 0 0
"Jordie Benn" "D" 20212022 "Minnesota Wild" 47.2 39 1 7 8 1 0 37 51 41 0 0 0 0
"Jordan Oesterle" "D" 20212022 "Detroit Red Wings" 47.1 45 2 6 8 -7 0 63 27 44 0 0 0 0
"Petr Mrazek" "G" 20212022 "Toronto Maple Leafs" 46.9 20 0 0 0 0 0 0 0 0 12 58 462 0
"Joel Edmundson" "D" 20212022 "Montréal Canadiens" 46.8 24 3 3 6 -1 0 32 61 45 0 0 0 0
"Kyle Capobianco" "D" 20212022 "Arizona Coyotes" 46.8 45 2 7 9 -12 0 40 43 46 0 0 0 0
"Lucas Carlsson" "D" 20212022 "Florida Panthers" 46.6 40 3 6 9 3 0 41 39 29 0 0 0 0
"Reese Johnson" "C" 20212022 "Chicago Blackhawks" 46.3 37 1 5 6 -13 0 24 141 14 0 0 0 0
"Liam O'Brien" "C" 20212022 "Arizona Coyotes" 46.3 39 2 1 3 1 0 36 139 10 0 0 0 0
"Anton Blidh" "W" 20212022 "Boston Bruins" 46.2 32 2 7 9 -3 0 28 82 17 0 0 0 0
"Vinni Lettieri" "C" 20212022 "Anaheim Ducks" 45.7 31 5 5 10 -8 0 50 40 17 0 0 0 0
"Tucker Poolman" "D" 20212022 "Vancouver Canucks" 45.5 40 1 2 3 2 0 47 33 73 0 0 0 0
"Dakota Joshua" "C" 20212022 "St. Louis Blues" 45.4 30 3 5 8 6 0 31 77 10 0 0 0 0
"Casey Fitzgerald" "D" 20212022 "Buffalo Sabres" 42.2 36 0 6 6 -19 0 41 86 35 0 0 0 0
"Cam York" "D" 20212022 "Philadelphia Flyers" 41.4 30 3 7 10 -14 0 33 20 40 0 0 0 0
"Jordan Spence" "D" 20212022 "Los Angeles Kings" 41.3 24 2 6 8 0 0 41 32 29 0 0 0 0
"Adam Ruzicka" "C" 20212022 "Calgary Flames" 41.2 28 5 5 10 8 0 33 24 8 0 0 0 0
"Gabriel Carlsson" "D" 20212022 "Columbus Blue Jackets" 40.7 38 2 7 9 6 0 18 27 33 0 0 0 0
"Noel Acciari" "C" 20212022 "Florida Panthers" 40.4 20 3 5 8 2 0 32 48 16 0 0 0 0
"Logan Brown" "C" 20212022 "St. Louis Blues" 40.2 39 4 7 11 -3 0 34 22 13 0 0 0 0
"Scott Reedy" "C" 20212022 "San Jose Sharks" 39.8 35 7 2 9 -8 0 33 14 26 0 0 0 0
"Ross Johnston" "W" 20212022 "New York Islanders" 39.7 32 2 5 7 -3 0 9 90 16 0 0 0 0
"Stuart Skinner" "G" 20212022 "Edmonton Oilers" 39.65 13 0 0 0 0 0 0 0 0 6 32 335 1
"Brendan Gaunce" "C" 20212022 "Columbus Blue Jackets" 39.5 30 5 2 7 2 0 44 42 9 0 0 0 0
"Max Willman" "C" 20212022 "Philadelphia Flyers" 38.7 41 4 2 6 -13 0 65 53 10 0 0 0 0
"Joel Hanley" "D" 20212022 "Dallas Stars" 38.6 44 2 4 6 -13 0 18 60 43 0 0 0 0
"Jeffrey Viel" "W" 20212022 "San Jose Sharks" 38.5 34 3 2 5 -2 0 30 84 11 0 0 0 0
"Quinton Byfield" "C" 20212022 "Los Angeles Kings" 38 40 5 5 10 -7 0 39 20 11 0 0 0 0
"Connor Dewar" "C" 20212022 "Minnesota Wild" 37.8 35 2 4 6 -4 0 44 48 22 0 0 0 0
"Paul Byron" "W" 20212022 "Montréal Canadiens" 37.5 27 4 3 7 -8 0 33 66 7 0 0 0 0
"Cam Dineen" "D" 20212022 "Arizona Coyotes" 37.2 34 0 7 7 -16 0 52 22 44 0 0 0 0
"Filip Gustavsson" "G" 20212022 "Ottawa Senators" 37.2 18 0 0 0 0 0 0 0 0 5 62 512 0
"Radim Simek" "D" 20212022 "San Jose Sharks" 37 36 1 1 2 -13 0 25 96 39 0 0 0 0
"Kevin Connauton" "D" 20212022 "Florida Panthers" 36.5 39 1 2 3 -3 0 30 74 32 0 0 0 0
"Jonah Gadjovich" "W" 20212022 "San Jose Sharks" 36.5 43 1 2 3 -9 0 36 104 14 0 0 0 0
"Jake Leschyshyn" "C" 20212022 "Vegas Golden Knights" 36.3 41 2 4 6 -2 0 35 45 23 0 0 0 0
"Jujhar Khaira" "W" 20212022 "Chicago Blackhawks" 36 27 3 0 3 -4 0 32 88 14 0 0 0 0
"Buddy Robinson" "W" 20212022 "Anaheim Ducks" 36 32 1 5 6 2 0 38 56 12 0 0 0 0
"Colin White" "C" 20212022 "Ottawa Senators" 35.9 24 3 7 10 -11 0 47 28 4 0 0 0 0
"Erik Kallgren" "G" 20212022 "Toronto Maple Leafs" 35.9 14 0 0 0 0 0 0 0 0 8 43 342 1
"Joonas Korpisalo" "G" 20212022 "Columbus Blue Jackets" 35 22 0 0 0 0 0 0 0 0 7 78 556 0
"Noah Cates" "W" 20212022 "Philadelphia Flyers" 34.8 16 5 4 9 4 0 23 21 6 0 0 0 0
"Anders Bjork" "W" 20212022 "Buffalo Sabres" 34 58 5 3 8 -14 0 51 11 16 0 0 0 0
"Kale Clague" "D" 20212022 "Los Angeles Kings" 33.9 36 2 8 10 -10 0 26 14 23 0 0 0 0
"Will Butcher" "D" 20212022 "Buffalo Sabres" 33.8 37 2 6 8 -10 0 35 11 32 0 0 0 0
"Corey Schueneman" "D" 20212022 "Montréal Canadiens" 33.5 24 2 4 6 -5 0 30 15 40 0 0 0 0
"Fabian Zetterlund" "W" 20212022 "New Jersey Devils" 33 14 3 5 8 5 0 36 16 7 0 0 0 0
"Henrik Borgstrom" "C" 20212022 "Chicago Blackhawks" 32.9 52 4 3 7 -14 0 41 26 19 0 0 0 0
"Troy Stecher" "D" 20212022 "Detroit Red Wings" 32.9 29 1 2 3 -7 0 50 33 38 0 0 0 0
"Kristian Vesalainen" "W" 20212022 "Winnipeg Jets" 32.8 53 2 1 3 -8 0 43 72 14 0 0 0 0
"Ryan Dzingel" "C" 20212022 "Arizona Coyotes" 32.6 32 5 3 8 -5 0 32 20 9 0 0 0 0
"Ryan Murray" "D" 20212022 "Colorado Avalanche" 32 37 0 4 4 -3 1 26 32 41 0 0 0 0
"Alexey Toropchenko" "W" 20212022 "St. Louis Blues" 32 28 2 0 2 -9 0 43 69 21 0 0 0 0
"William Lagesson" "D" 20212022 "Edmonton Oilers" 31.5 33 0 5 5 3 0 33 40 20 0 0 0 0
"Greg McKegg" "C" 20212022 "New York Rangers" 31.3 43 2 3 5 -11 1 25 50 22 0 0 0 0
"Philippe Myers" "D" 20212022 "Nashville Predators" 31.2 27 1 3 4 5 0 28 50 17 0 0 0 0
"Jaroslav Halak" "G" 20212022 "Vancouver Canucks" 30.95 17 0 0 0 0 0 0 0 0 4 39 361 0
"Kole Lind" "W" 20212022 "Seattle Kraken" 30.5 23 2 6 8 -1 0 31 18 10 0 0 0 0
"Vladislav Kolyachonok" "D" 20212022 "Arizona Coyotes" 30.4 32 1 2 3 0 0 24 39 36 0 0 0 0
"Tyler Johnson" "C" 20212022 "Chicago Blackhawks" 30.1 26 3 4 7 -8 0 30 37 7 0 0 0 0
